class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep,StarGap
not,166841803,0.319814651,0.776157468,0.50704407,0.276479712,0.333333333,0,0.476157468
not,101101072,0.300198588,0.563104891,0.411209154,0.105733829,0,0,0.263104891
not,167754523,0.452978817,0.567617055,0.421266434,0.111603538,0.333333333,0,0.267617055
not,150360085,0.620697264,0.351556369,0.372411509,0.043976864,0.333333333,0,0.051556369
not,219221189,0.487953442,0.152498038,0.199034992,0.007316335,0.333333333,0,0.147501962
toi,92226327,0.689684466,0.091551138,0.063624986,0.001494516,0,0,0.208448862
not,349274787,0.530052957,0.714098875,0.66986128,0.379782278,0.333333333,0,0.414098875
not,269885278,0.141206973,0.728872613,0.533293822,0.265493422,0.333333333,0,0.428872613
toi,271596225,0.735503089,0.206905572,0.243634538,0.014531964,0.333333333,0,0.093094428
toi,120896927,0.360536187,0.617106984,0.500323877,0.198601894,0.333333333,0,0.317106984
toi,261867566,0.609477052,0.669892754,0.61072665,0.326899809,0.333333333,0,0.369892754
not,219228930,0.671822595,0.126602145,0.169679644,0.005138701,0.666666667,0.035103666,0.173397855
toi,50618703,0.507789056,0.36725085,0.375913149,0.054288824,0.666666667,0.140286007,0.06725085
not,348898884,0.605450132,0.635888046,0.468998072,0.163960028,0.333333333,0,0.335888046
not,206592394,0.315875993,0.727439184,0.529197419,0.260967071,0.333333333,0,0.427439184
not,219380615,0.480041924,0.633533874,0.483911769,0.171712181,0.333333333,0,0.333533874
not,177385959,0.709796999,0.121109077,0.124456747,0.003285159,0.333333333,0,0.178890923
not,234334027,0.425893645,0.551399425,0.466096075,0.125762593,0.333333333,0,0.251399425
not,140898575,0.182049868,0.72250327,0.755596384,0.48184112,0.333333333,0,0.42250327
not,238069953,0.152173433,0.943719592,0.700275766,0.739977255,0.333333333,0,0.643719592
not,391039604,0.58276699,0.021449124,0.004463162,7.92e-05,0.333333333,0,0.278550876
not,167006493,0.385238305,0.746010986,0.598060222,0.339373568,0.666666667,0.123384872,0.446010986
not,469970578,0.538941968,0.16766937,0.180724941,0.0068365,0,0,0.13233063
not,358049328,0.248521624,0.910643474,0.739120127,0.752547085,0.333333333,0,0.610643474
toi,32499655,0.937488967,0.529427151,0.530905706,0.168127598,0.333333333,0,0.229427151
toi,167600516,0.622760371,0.392545122,0.367309657,0.057266169,0.333333333,0,0.092545122
not,79611981,0.487961165,0.023280146,0.02193162,0.00025758,0.666666667,0.059744556,0.276719854
toi,151825527,0.731034863,0.220507455,0.292697943,0.020431256,0.333333333,0,0.079492545
not,142017826,0.478067079,0.828482867,0.729776842,0.599401996,0.333333333,0,0.528482867
not,344173871,0.37886143,0.659105415,0.527335734,0.214190101,0.333333333,0,0.359105415
not,300038122,0.575937776,0.750980905,0.555410216,0.302397127,0.333333333,0,0.450980905
toi,425997655,0.40859444,0.522364635,0.395408542,0.100043711,0.333333333,0,0.222364635
not,179013510,0.23380406,0.799186503,0.616834648,0.412536575,0.666666667,0.063413716,0.499186503
not,259373187,0.72163504,0.132879937,0.084891419,0.002190258,0.333333333,0,0.167120063
not,167796443,0.30896955,0.849353911,0.885063642,0.895482502,0,0,0.549353911
not,468889408,0.721226831,0.080041852,0.031657701,0.000601667,0.333333333,0,0.219958148
not,157008163,0.62919241,0.146220246,0.189866021,0.006633026,0.333333333,0,0.153779754
not,177307808,0.585834069,0.396259482,0.305646761,0.037679826,0.333333333,0,0.096259482
not,271642710,0.605185349,0.720115093,0.448442147,0.193015733,0,0,0.420115093
toi,309257814,0.729788173,0.622547737,0.685368345,0.349364505,0.333333333,0,0.322547737
not,249076418,0.196160635,0.537797541,0.365141178,0.080406643,0.333333333,0,0.237797541
toi,460984940,0.408859223,0.692649752,0.538304333,0.279889333,0.333333333,0,0.392649752
not,183799419,0.302416152,0.770782108,0.544931791,0.308507777,1,0.042055532,0.470782108
not,176958231,0.341295234,0.813497253,0.605567622,0.41452926,0.333333333,0,0.513497253
not,238135340,0.455990733,0.71043683,0.524253147,0.245050589,0.666666667,0.043408903,0.41043683
not,179040880,0.567872904,0.249019095,0.362920404,0.028271206,0,0,0.050980905
not,382159772,0.515545013,0.63915773,0.693840056,0.326921177,0.333333333,0,0.33915773
not,422382572,0.478720212,0.15877583,0.172246258,0.006128528,0.333333333,0,0.14122417
not,124403080,0.241328332,0.607334554,0.522233185,0.181036131,0.666666667,0.104355863,0.307334554
not,260004324,0.562113857,0.20402825,0.264807539,0.014169242,0.333333333,0,0.09597175
toi,55652896,0.7201015,0.57801988,0.472359563,0.160144807,0.666666667,0.057310986,0.27801988
not,200748029,0.295487643,0.646361496,0.470425364,0.16990361,0.333333333,0,0.346361496
not,177237464,0.621083407,0.245618624,0.266494211,0.01707504,0.333333333,0,0.054381376
not,49772010,0.410039718,0.240387131,0.306245707,0.020758894,0.333333333,0,0.059612869
toi,259377017,0.601312886,0.187287471,0.174365929,0.008202874,0.666666667,0.058041203,0.112712529
not,349275562,0.4505406,0.834423228,0.698867301,0.563336659,0,0,0.534423228
not,141621885,0.806729921,0.133403087,0.132351126,0.003788752,0.333333333,0,0.166596913
toi,164767175,0.48640887,0.776353649,0.554065201,0.369500217,0.333333333,0,0.476353649
not,439411675,0.409234334,0.483913157,0.346202198,0.062017867,0.333333333,0,0.183913157
not,309755442,0.47396293,0.873476327,0.805673606,0.802102828,0.333333333,0,0.573476327
not,299832383,0.556023831,0.606068533,0.495246429,0.164692321,0.333333333,0,0.306068533
