class,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep,cluster
toi,12.7918,4814,0.804149,0.358743,1,0,cluster2
not,9.5767,5434,0.836574,0.549771,2,3291.212717,cluster3
not,9.0624,4891,0.780521,0.31409,2,31675.5175,cluster3
toi,10.5721,5377,1.00018,0.863779,1,0,cluster4
not,6.1274,5279.98,0.847689,0.503149,1,0,cluster1
not,10.7508,3375,0.396588,0.018385,1,0,cluster2
not,8.5493,6776,1.42187,3.83981,1,0,cluster1
toi,8.9043,5910,1.24841,1.96404,1,0,cluster1
toi,10.9102,3494,0.419457,0.027086,1,0,cluster2
not,6.7156,5199.65,0.685726,0.309665,1,0,cluster1
not,9.1287,4846,0.616928,0.189102,1,0,cluster4
not,8.2117,4516.8,0.554058,0.115114,1,0,cluster4
toi,10.094,6923.83,1.5869,5.978203,1,0,cluster1
not,8.2027,6576,1.72292,5.00115,1,0,cluster1
not,8.69367,3850,0.517124,0.052933,1,0,cluster2
toi,12.4257,6143,1.91031,5.36804,1,0,cluster4
not,7.4818,5519.1,0.915715,0.700953,1,0,cluster1
not,8.6388,5823.5,1.55847,2.51667,2,5107.854546,cluster3
not,8.6128,6149,1.11886,1.61238,1,0,cluster1
not,8.3912,7205,1.54681,5.80906,1,0,cluster1
not,6.0753,5597.6,1.02494,0.929187,1,0,cluster1
not,13.5144,3120,0.195471,0.003262,1,0,cluster2
not,9.6409,5468.5,0.919462,0.681138,1,0,cluster4
toi,15.2474,3674,0.295122,0.016393,0,0,cluster2
toi,10.3773,6002,1.21356,1.974206,1,0,cluster4
not,8.4962,4330,0.701752,0.15596,2,36256.39981,cluster3
not,10.2017,4371,0.692808,0.15785,0,0,cluster4
not,9.1364,6213,1.1215,1.68848,1,0,cluster1
not,11.2031,3141,0.230441,0.004657,0,0,cluster2
not,8.34398,3544,0.454147,0.029313,2,15191.74902,cluster3
not,8.0367,6716,1.67728,5.1564,1,0,cluster1
not,9.72334,3548,0.467725,0.031233,1,0,cluster2
not,7.6428,6526.08,1.2784,2.67078,1,0,cluster1
toi,9.03971,5890.3,1.28018,2.037876,1,0,cluster1
toi,10.5683,6138,1.29372,2.453997,1,0,cluster4
toi,10.8061,5304,0.940806,0.723603,1,0,cluster4
toi,10.3157,6733,1.77457,6.685081,1,0,cluster1
not,10.2724,3506,0.412724,0.023188,1,0,cluster2
not,11.9298,3491,0.407734,0.022246,1,0,cluster2
toi,11.2474,5693,1.03997,1.173525,1,0,cluster4
not,4.4735,5394.16,0.963388,0.707933,1,0,cluster1
not,10.6156,3690,0.474241,0.037566,1,0,cluster2
not,9.62718,3451,0.396308,0.02007,0,0,cluster2
not,6.4049,5652,0.8645,0.687121,1,0,cluster1
toi,10.491,5603,1.05922,1.142196,1,0,cluster4
not,5.9121,5519.04,0.879611,0.646741,1,0,cluster1
not,5.6439,5913,1.04635,1.20581,1,0,cluster1
not,8.4981,5968,0.95821,1.04938,1,0,cluster1
toi,9.9322,6104,1.00693,1.453927,0,0,cluster4
not,9.24617,3666,0.482577,0.037896,2,151827.9825,cluster3
not,9.3539,6228,1.07982,1.5805,1,0,cluster1
not,8.499,5254,0.732285,0.368142,0,0,cluster4
not,7.7246,5814.91,0.972165,0.973525,1,0,cluster1
toi,14.4347,3324,0.355309,0.01592,1,0,cluster2
toi,9.5369,6760,1.5288,5.041666,1,0,cluster1
toi,11.7106,5815,2.4494,7.086051,1,0,cluster4
toi,9.1414,8242,3.66787,64.127494,1,0,cluster1
toi,11.5748,5025.77,0.801736,0.423603,1,0,cluster4
toi,10.6392,5448,0.989667,0.891277,1,0,cluster4
not,9.5248,5734.1,1.23082,1.47552,1,0,cluster4
