class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep
not,348839628,0.648598853,0.21187549,0.24943644,0.013376676,0.333333333,0
not,273418879,0.337284863,0.165053623,0.208525399,0.008303965,0.333333333,0
not,441493794,0.463191748,0.222338478,0.249822722,0.014024602,0.333333333,0
not,309623584,0.394759488,0.770337431,0.744795825,0.534268452,0.333333333,0
not,44568897,0.885767873,0.001831023,0,2.85e-06,0.333333333,0
not,255564289,0.4005406,0.709652106,0.541209119,0.258299675,0,0
not,279949279,0.604766108,0.70599006,0.448319429,0.185539752,0.333333333,0
not,260355230,0.590103707,0.510044468,0.520439832,0.133160533,0.333333333,0
not,158067487,0.371403354,0.704159037,0.516912393,0.235059506,0.333333333,0
not,238633709,0.487565093,0.162437876,0.213719987,0.008507287,0.333333333,0
not,260472324,0.599779347,0.46507978,0.439773809,0.08632598,0.333333333,0
not,300038122,0.575937776,0.750980905,0.555410216,0.302397127,0.333333333,0
not,348998165,0.444947043,0.90164792,0.672957115,0.622931598,0.333333333,0
not,167042097,0.817575022,0.083965472,0.080117976,0.001559008,1,0.034131771
toi,359496368,0.561341571,0.282762229,0.302239251,0.027744517,0,0
not,374909017,0.613172992,0.577295318,0.408536556,0.109256261,0,0
not,167813804,0.472252868,0.653936699,0.512539177,0.200966018,0.333333333,0
not,196466162,0.498948588,0.15877583,0.163202795,0.005685099,0.333333333,0
not,80677028,0.537188879,0.247711222,0.264309695,0.017007342,0.333333333,0
toi,9033144,0.518056046,0.820952132,0.749411687,0.706988975,0.333333333,0
not,306470049,0.425066196,0.940622548,0.740891168,0.812354173,0,0
not,382627751,0.51162842,0.729419304,0.617092634,0.342724008,0.333333333,0
not,220536759,0.393435569,0.743648967,0.528596381,0.272200741,0.333333333,0
not,294927550,0.856917476,0.140465603,0.129613683,0.00381849,0.333333333,0
toi,140691463,0.768843778,0.738163746,0.684831455,0.483740876,0,0
not,141157180,0.58135481,0.797541198,0.537359546,0.323131665,0.333333333,0
not,20180572,0.328387026,0.758187287,0.579648372,0.332048365,0.333333333,0
not,238034112,0.873620918,0.077426105,0.035883795,0.000656784,0.333333333,0
not,231098372,0.508781995,0.825791263,0.711745695,0.569273044,0,0
not,279055830,0.465048544,0.816113,0.640660026,0.460751233,0.666666667,0.079707643
not,167600516,0.622760371,0.392545122,0.367309657,0.049904157,0.333333333,0
not,259886044,0.307667696,0.810881507,0.609839735,0.416836381,0.333333333,0
toi,44797824,0.524029126,0.687941407,0.74896544,0.494072216,0.333333333,0
not,260371854,0.532314651,0.532827622,0.462622326,0.117155024,0.333333333,0
not,220022156,0.277305825,0.589173424,0.462136335,0.139197688,0.333333333,0
not,260982587,0.633528244,0.64504316,0.392993233,0.125388301,0.666666667,0.143422937
not,141805493,0.504247573,0.757520272,0.587583192,0.339405012,0.333333333,0
not,139898417,0.213283319,0.766439969,0.577178676,0.336935369,0,0
not,33949151,0.320906884,0.66239864,0.452710076,0.166780852,0.666666667,0.808220555
not,294779080,0.355792145,0.821082919,0.676854799,0.514326442,0.333333333,0
