class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,PPPeriod,TransitDepth,TransitDuration,TransitEdgeTime,PlanetRadius,StarGap,StarMass
not,200851505,0.259620895102778,0.296817172464841,0.337440376758508,0.0473767704943305,0.333333333333333,0.359084649682682,0.0272696228920671,0.997038616283861,0,0.107186124410632,0.0332428765264586,0.60458038460102
not,29828884,0.526064813313005,0.549716259560819,0.438049044159294,0.179473148377483,0.333333333333333,0.421372761961563,0.116780029911079,0.997573326465988,0.00277558898020513,0.275435149611334,0.380936227951153,0.84205403919138
not,238009531,0.457856208302246,0.512706637058969,0.369556279452228,0.119783660459278,0.333333333333333,0.359166232771523,0.203860363069162,0.996656917193421,0,0.315682525434006,0.330054274084125,0.761323060067793
not,381925635,0.361533720439874,0.579570688378979,0.609164800220811,0.349516693814121,0.333333333333333,0.0246608957985082,0.119600404748282,0.997739961501713,0.000584965400638637,0.371040172821365,0.421981004070556,0.994444373761799
not,100993643,0.379223840572658,0.325931408832963,0.357480686238711,0.0584016201583747,0.333333333333333,0.0715899664413878,0,0,0,0,0.073270013568521,0.636772117327017
not,150064525,0.569598079605541,0.816185541574143,0.492271332829225,0.471394063040806,0.333333333333333,0.111600424969333,0.283115755496528,0.998000250263829,0.139416991934342,0.473860203043721,0.747286295793758,1.071580924961
not,300204306,0.392026470302008,0.504451023932889,0.330718296536317,0.0971857602326072,0.333333333333333,0.00817127875214448,0.132084485550703,0,0,0.232087961711093,0.31870420624152,0.722704391150123
not,338150022,0.432430445172522,0.207500616827042,0.285187559838877,0.0248308276896403,0.333333333333333,0.00533688815475431,0,0,0,0,0.0868385345997286,0.515460429394124
not,141548474,0.568884419502384,0.674068591167037,0.43877875500634,0.262085091492994,0.333333333333333,0.079567411404445,0.203499364119799,0.997865359689811,0.000132496595339432,0.364107328148024,0.551899592944369,0.925483496368306
not,248391508,0.264659767952336,0.584752035529238,0.387568464300809,0.162955912556561,0.333333333333333,0.17810520527682,0,0,0,0,0.42910447761194,0.822023014435147
not,279569731,0.616375255457878,0.497660991857883,0.32765914625556,0.0936088567194042,0.333333333333333,0.331429327613463,0.138756526614749,0.997669021444227,0.0019651684995314,0.236100202600349,0.309369063772049,0.715991026996415
not,141867627,0.563002130167278,0.542807796693807,0.394438326782803,0.147122138691442,0.333333333333333,0.420283878179352,0.191014634659296,0.997754032608456,0.000492303776939401,0.322536056734993,0.371438263229308,0.801339891752472
not,278380701,0.39096679317914,0.473491241056008,0.36695082645935,0.103923764749775,0.333333333333333,0.393105538263037,0.0528123406968241,0.997433825920144,0.00126999169181131,0.159742432185606,0.276139755766621,0.734865192524637
not,150098979,0.522831716785069,0.779274611398964,0.544686882743115,0.50970013757946,0.333333333333333,0.0587144976439368,0.351256879583083,0.9978751646241,0.678429517474508,0.576265751532618,0.696540027137042,1.09269808830169
not,142299854,0.349855646024589,0.434492968171725,0.35446581313307,0.0858445857680756,0.333333333333333,0.0257444077403251,0.0307190794811933,0.990958901948027,0,0.118417710387936,0.222523744911805,0.700731360301725
toi,289793076,0.901774418529211,0.628176659264742,0.386978485318091,0.21267086222372,0.333333333333333,0.305407902417421,0,0,0,0,0.488805970149254,0.878469107746253
not,307160287,0.498761907851342,0.798667653589933,0.546883490651478,0.540495287273964,0.333333333333333,0.350465682117992,0,0,0,0,0.723202170963365,1.10882816447484
not,143987080,0.579329808284945,0.153960029607698,0.131287574502097,0.0061929990716046,0.333333333333333,0.461625586810427,0.534931595976511,0.996678400541649,0.285297167946985,0.239563590508999,0.16044776119403,0.33436305170341
not,349766265,0.355878504773954,0.64892425363928,0.422541107331898,0.228517090125441,0.333333333333333,0.402148686629231,0,0,0,0,0.51733039348711,0.894363246574235
not,220431435,0.453466117364648,0.703034789045152,0.654252765167089,0.571523028733531,0.333333333333333,0.426356508726329,0.088347550816038,0.999132775860924,0.440530348936426,0.33980052807412,0.591723202170963,1.12439785692949
not,231917352,0.531195596933424,0.104120404638539,0.0953454338444376,0.00316243572286316,0.333333333333333,0.168703213150935,0.540511268110395,0,0,0.199595616129615,0.228968792401628,0.256290233712719
not,273984891,0.362636649690207,0.579773007648655,0.416852927900083,0.181311696821945,0.333333333333333,0.156708807323718,0.111168140752657,0.997420041980641,0,0.257712967132558,0.422259158751696,0.844197208798302
