class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity
0,158111591,5.5226,6363,1.29515,2.47732
0,258054702,11.2676,3264,0.237721,0.0057787
1,155044736,10.7069,4897,6.79961,27.46466994
0,277533870,7.9629,4457,0.740454,0.194922
0,375063320,7.4149,6238,1.34407,2.46445
1,167415965,8.0089,5346.17,0.798267,0.537716509
0,409858786,9.57692,3711,0.546095,0.050956
1,219229644,10.7791,3782,0.611136,0.078931034
1,382626661,9.6768,5245,0.811062,0.514252059
1,294301883,11.3473,6070,1.09036,1.667172533
0,79611981,9.47068,2905,0.155739,0.00155623
0,301083272,7.7295,4539,0.722798,0.199788
0,381949410,11.0382,3543,0.58803,0.0490883
0,279362204,10.0835,5606.63,0.879985,0.689371
1,339733013,10.0793,5905.84,1.31852,2.184671342
1,11561667,14.9181,4107,0.69386,0.141490889
0,339961200,9.7333,5330,0.88283,0.566706
0,306930089,8.708,6483,1.4697,3.4376
1,55650590,12.4312,3383,0.351676,0.016733216
0,259999047,8.42784,3409,0.422848,0.0217556
0,25155713,10.5741,5330.74,0.771447,0.432969
0,237924298,8.8776,5337.44,0.77627,0.440608
0,453101363,10.1856,5739,0.963499,0.907281
0,309781635,12.7874,3289,0.198152,0.00413949
0,364588832,13.0921,3269,0.267751,0.00737593
1,316937670,12.1535,3460,0.394818,0.02307726
0,149120706,9.3987,5568,1.1291,1.10398
0,257500724,7.0589,5300.76,0.846643,0.509857
0,300324030,9.3155,6706,1.26749,2.92709
0,38403917,10.9704,3571,0.228958,0.00768008
1,55452495,9.9524,7874,2.80061,31.14389113
0,29759170,10.5269,4612,0.751127,0.229974
0,259373187,11.5887,3324,0.246035,0.00665783
1,300599466,11.3377,5027.7,10.0543,66.7216937
1,260476837,12.7918,4814,0.804149,0.358742935
0,350862394,9.5767,5434,0.836574,0.549771
1,92677094,10.4247,7649,2.1241,15.95344656
0,234339269,9.0624,4891,0.780521,0.31409
1,232967666,10.3874,5807,1.14438,1.538274294
1,261867566,10.5721,5377,1.00018,0.863778596
0,130645531,6.1274,5279.98,0.847689,0.503149
0,157008163,10.7508,3375,0.396588,0.0183852
0,38508010,8.5493,6776,1.42187,3.83981
1,200807066,8.9043,5910,1.24841,1.964040149
1,150428135,10.9102,3494,0.419457,0.027086473
0,123089572,6.7156,5199.65,0.685726,0.309665
0,52059019,9.1287,4846,0.616928,0.189102
0,188087957,8.2117,4516.8,0.554058,0.115114
