class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,PPPeriod,TransitDepth,TransitDuration,TransitEdgeTime,PlanetRadius,StarGap,StarMass
0,593228,9.22216,3356,0.466005,0.0248178,0,0.673680730341472,4435.4232829219,0.997479875610376,0,3.38808179079259,644,0.379822447523469
0,398570754,10.6739,3269,0.231166,0.00549797,1,0.0163775439559575,494.852647101838,0.280139863468902,0.00176611261066137,0.561380962314915,731,0.197237244217613
1,44745077,13.0734,3505,0.392552,0.024023287,1,0.0749989454387636,1024.47585568659,0.438276246327115,0.032686400453279,1.37165165469139,495,0.374487029094722
0,247463344,8.79728,3243,0.249006,0.00617877,1,0.067805646872951,0,0,0,0,757,0.207506764071417
1,25375553,9.77486,6510,1.95411,7.084479191,1,2.32172626012702,2477.70737778984,0.316298638998498,0.110399725984556,10.6186617717784,2510,1.63146207359478
1,178155732,5.9053,6308.31,1.2845,2.699021138,1,0.0586545648884572,36.2568605624976,0.996954422765702,0,0.844354807240896,2308.31,1.28174482144183
0,65263849,7.6903,4647,0.718442,0.216855,1,0.0640120869749752,0,0,0,0,647,0.682405251031061
1,181159386,11.1689,6719,2.78212,16.29507041,2,5.54455556360851,2909.81081831406,1.62479094033871,0.280259420141012,16.3833990298493,2719,2.01628034191957
1,322063810,9.3626,4037,0.639371,0.112157114,1,0.0660964514858524,0,0,0,0,37,0.578704296065424
0,260003879,9.9339,6129,0.972589,1.20257,1,0.0753120976592185,0,0,0,0,2129,1.04719507579117
0,150185722,8.8975,5088.3,0.899065,0.488166,1,0.0142216050929151,0,0,0,0,1088.3,0.835876050569063
0,55399276,10.7316,3426,0.363406,0.0163919,2,0.0564959828874639,456.196331353085,1.00298383853269,0.0564842715016482,0.847351809467512,574,0.317147654826873
0,257397333,10.7879,3194,0.240354,0.00541673,2,0.0564320186302947,1094.36574410733,0.998162635964425,0.000364739643463608,0.868017283683869,806,0.195964759714127
0,432089011,11.2381,3120,0.235547,0.00473662,1,0.0371293855642058,146.726101351132,0.993194905087839,0.000632104792755295,0.311477757918065,880,0.184860356513872
0,11613065,7.8806,4904.6,0.786348,0.322358,1,0.0288587997578535,67.51312494595,0.994498391974621,0.00209284147620539,0.70534999126451,904.6,0.75350235353711
1,391904697,11.4994,5249.18,0.877877,0.604392635,1,0.0206318514613056,261.507816661455,1.0001887417546,0.0206124171163413,1.54978617275972,1249.18,0.881718170538605
0,281764250,8.3669,4704,0.58242,0.149636,1,0.0211885948021327,163.767367665546,0.995200279685566,0.00536074338177136,0.813665192305326,704,0.621955084559143
1,237914496,11.8371,3980,0.577735,0.086511851,1,0.0211892289113417,0,0,0,0,20,0.542336583692688
0,234297001,8.6615,5097,0.736906,0.3302,1,0.017222411074063,0,0,0,0,1097,0.758043742763137
0,434106275,9.21465,3537,0.385531,0.0209582,1,0.0638628633292319,157.06887077461,0.860155203844607,0.0547088460939687,0.527472884565962,463,0.352909655793925
0,139112038,6.1558,5830.74,0.969939,0.979667,1,0.03222421433224,27.3265484139967,0.996024337164929,0.0317922030161372,0.553519067061307,1830.74,0.994877524609169
0,300444243,8.8045,6898,1.36742,3.81411,1,0.0651559918292234,140.131084506463,0.000120090616837876,0,1.76711552645537,2898,1.39748869555836
